BASELINES-PERCENTILES,,,,,,,,,,,,
RESEARCH FIELDS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,ALL YEARS
 ALL FIELDS,,,,,,,,,,,,
0.01%,1739,1649,1484,1449,1118,871,737,474,304,132,32,1066
0.10%,630,580,524,462,404,322,246,173,110,46,10,364
1.00%,199,184,165,146,127,103,80,58,37,17,4,113
10.00%,54,50,44,40,35,29,23,17,11,5,2,28
20.00%,32,30,27,24,21,18,14,11,7,3,1,16
50.00%,11,10,9,9,8,7,5,4,3,1,1,4
AGRICULTURAL SCIENCES,,,,,,,,,,,,
0.01%,574,536,618,434,381,242,173,168,81,32,10,378
0.10%,319,285,218,198,181,143,98,67,43,20,6,171
1.00%,125,113,98,80,74,55,45,32,21,10,3,69
10.00%,44,39,34,30,26,21,17,13,8,4,1,22
20.00%,28,25,21,19,17,14,11,9,6,3,1,13
50.00%,11,9,7,7,6,5,4,3,2,1,1,4
BIOLOGY & BIOCHEMISTRY,,,,,,,,,,,,
0.01%,2310,2013,1515,1977,1531,971,1282,627,505,253,62,1313
0.10%,725,694,584,549,416,344,261,221,122,53,10,432
1.00%,245,227,206,179,149,118,90,66,40,18,4,140
10.00%,72,65,59,53,45,37,29,21,13,6,2,38
20.00%,45,41,37,34,29,24,19,14,9,4,1,23
50.00%,19,17,16,14,13,11,8,6,4,2,1,8
CHEMISTRY,,,,,,,,,,,,
0.01%,1732,1959,2158,1844,1376,1014,984,579,380,150,32,1219
0.10%,605,580,611,532,512,390,343,216,157,67,12,401
1.00%,194,178,172,155,147,130,105,77,51,23,5,123
10.00%,54,49,46,43,39,34,29,22,15,7,2,32
20.00%,33,30,28,26,24,21,18,14,9,5,1,18
50.00%,11,11,10,10,9,8,7,5,4,2,1,5
CLINICAL MEDICINE,,,,,,,,,,,,
0.01%,1743,1806,1478,1652,1312,1177,918,605,361,218,33,1204
0.10%,737,631,564,519,424,318,275,186,122,53,11,394
1.00%,219,198,176,155,131,105,81,59,37,17,4,120
10.00%,61,54,48,43,37,30,24,17,11,5,2,30
20.00%,36,32,29,26,22,19,15,11,7,3,1,17
50.00%,13,12,10,10,8,7,6,4,3,1,1,5
COMPUTER SCIENCE,,,,,,,,,,,,
0.01%,2980,1713,1548,5187,1908,1021,609,323,309,79,52,1102
0.10%,419,418,445,380,348,282,139,97,73,27,9,239
1.00%,90,107,99,84,76,61,46,33,22,10,3,61
10.00%,18,27,24,22,19,17,13,10,6,3,1,14
20.00%,9,15,14,13,11,10,8,6,4,2,1,7
50.00%,2,5,5,4,4,4,3,2,2,1,1,2
ECONOMICS & BUSINESS,,,,,,,,,,,,
0.01%,1060,916,626,546,767,265,192,121,57,30,13,505
0.10%,434,381,327,259,200,149,104,68,37,16,7,229
1.00%,171,151,119,99,85,61,44,29,16,7,3,82
10.00%,47,40,34,29,24,19,14,10,6,3,1,19
20.00%,28,23,19,17,14,11,9,6,4,2,1,10
50.00%,8,7,6,6,5,4,3,2,1,1,1,3
ENGINEERING,,,,,,,,,,,,
0.01%,1065,765,480,496,521,366,308,187,115,60,18,443
0.10%,283,285,241,208,203,150,111,85,55,25,7,172
1.00%,103,101,88,86,74,62,46,35,24,11,3,63
10.00%,31,30,27,26,23,20,16,12,8,4,1,17
20.00%,18,17,16,16,14,12,10,8,5,3,1,10
50.00%,6,6,5,5,5,4,4,3,2,1,1,3
ENVIRONMENT/ECOLOGY,,,,,,,,,,,,
0.01%,2694,1098,1593,1124,1006,839,577,355,176,59,14,926
0.10%,686,512,554,427,356,290,201,141,74,33,9,343
1.00%,218,194,177,149,126,100,79,53,32,14,4,113
10.00%,63,57,50,44,38,31,25,18,11,5,2,30
20.00%,39,36,32,28,25,20,16,12,7,3,1,17
50.00%,16,15,13,11,10,8,7,5,3,1,1,5
GEOSCIENCES,,,,,,,,,,,,
0.01%,1279,1418,955,1139,775,726,346,281,161,64,14,775
0.10%,498,453,436,375,318,230,167,129,76,30,9,286
1.00%,184,152,146,130,103,89,67,49,28,13,4,100
10.00%,55,49,45,41,34,30,23,17,10,5,2,29
20.00%,35,31,29,26,23,19,15,11,7,3,1,17
50.00%,13,12,11,11,9,8,6,5,3,1,1,5
IMMUNOLOGY,,,,,,,,,,,,
0.01%,2039,1567,1872,1909,1059,1097,730,517,224,131,33,1285
0.10%,1068,939,703,639,508,507,284,243,138,60,13,526
1.00%,309,300,261,235,190,149,115,84,54,23,5,173
10.00%,82,77,69,62,52,42,33,24,16,7,2,44
20.00%,52,47,43,38,33,27,21,16,10,4,1,25
50.00%,21,20,18,16,14,12,9,7,4,2,1,8
MATERIALS SCIENCE,,,,,,,,,,,,
0.01%,1598,2063,2550,1610,1761,1077,802,517,368,151,25,1176
0.10%,597,585,556,510,502,394,291,218,141,55,10,371
1.00%,168,169,152,147,140,119,97,70,47,21,4,105
10.00%,41,41,37,35,33,29,24,19,14,6,2,24
20.00%,23,24,22,21,20,17,15,12,8,4,1,14
50.00%,7,8,7,7,7,6,6,4,3,1,1,4
MATHEMATICS,,,,,,,,,,,,
0.01%,1047,538,575,516,336,281,127,81,56,27,14,373
0.10%,222,216,187,143,126,83,61,43,27,13,5,118
1.00%,72,67,60,51,47,35,26,19,12,6,3,41
10.00%,21,19,17,15,14,11,9,6,4,2,1,11
20.00%,12,11,10,9,8,7,5,4,3,2,1,6
